,id,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Other Reason,Year,PopMale,PopFemale,PopTotal,PopDensity
117,120,Cameroon,Sub-Saharan Africa,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.051306631,0.236298457,2.333790634,2017,12279.497,12286.573,24566.07,51.969
118,120,Cameroon,Sub-Saharan Africa,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,2.649,2019,12939.928,12936.459,25876.387,54.741
119,120,Cameroon,Sub-Saharan Africa,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,2.687,2018,12607.251,12609.01,25216.261,53.344
120,120,Cameroon,Sub-Saharan Africa,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.52021,2016,11957.213,11969.336,23926.549,50.616
121,120,Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95068,2015,11640.88,11657.496,23298.376,49.287
122,124,Canada,North America,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722,2.186876774,2017,18218.176,18513.915,36732.091,4.039
123,124,Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70482,2016,18042.095,18340.847,36382.942,4.001
124,124,Canada,North America,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,2.192,2019,18563.538,18847.5,37411.038,4.114
125,124,Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2.305,2018,18392.121,18682.437,37074.558,4.077
126,124,Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45182,2015,17864.138,18162.53,36026.668,3.962
127,140,Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,2.72248,2015,2226.565,2266.606,4493.171,7.212
128,140,Central African Republic,Sub-Saharan Africa,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235,2.457,2019,2351.973,2393.206,4745.179,7.617
